# XML file : ./SLAFHM.in.xml
# binning_level,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,task16,task17,task18,task19,task20,task21,task22,task23,task24,task25,task26,task27,task28,task29
0.0,0.00022146222195390498,0.000246749203775141,0.00024626273194665706,0.0002512464835381176,0.00024818746674360115,0.00024500973497070737,0.00024035599434375817,0.00023550713856639084,0.00023409030155996117,0.00022926565243225233,0.00022808704905193572,0.00023840656309279137,0.00021968571522209374,0.00021413314600896894,0.00021167639366381086,0.00020559376121322075,0.0001991215800416311,0.0001961825566739836,0.00018887478080493287,0.0001897565616756812,0.000182878849359555,0.00017829056893936947,0.0002057353079647444,0.00018735057088209342,0.00026296535355742107,0.0002504875454747479,0.0002462897034580023,0.0002489171479376123,0.0002469297894650254
1.0,0.00025362222766659923,0.00025879158304807274,0.0002553333754763977,0.0002582075711594348,0.0002540826865446547,0.00024963927451010926,0.00024395437127465146,0.00023817988505238483,0.00023633449152149364,0.00023133812095665177,0.0002301186970918636,0.0002731013170555355,0.00022080033989639814,0.0002151703198928055,0.00021241567219913683,0.0002063731191243013,0.00019993548846928907,0.00019683156221489848,0.00018918618095241496,0.00019013202165661783,0.00018335074916989464,0.00017880476856783743,0.000232450483929157,0.00021098559629791574,0.0002957649356255936,0.00027899409504914257,0.0002697068140070533,0.00026900209364845256,0.00026222320978395866
2.0,0.00027736009863396334,0.0002669575167208484,0.00026189089888678583,0.00026304534283556864,0.0002567757167380066,0.0002522609782837577,0.0002458593260542675,0.0002399322390128696,0.0002374061163953339,0.00023335085967982934,0.00023134565171434304,0.0002978865091930798,0.00022219796549525453,0.00021572477057974548,0.00021318970930936387,0.0002071218602875869,0.0002005278653828396,0.00019759906020338694,0.00018961424268008475,0.00019095844230837886,0.00018329709842674493,0.00017909376812471668,0.0002546457678533507,0.00022936845581093346,0.00032068364880797365,0.00030029670597979803,0.0002865065864166338,0.00028344774120667366,0.00027462210842684576
3.0,0.00029124838404454207,0.00027135413899380265,0.00026648786690685125,0.00026604993876972393,0.00026020320768212787,0.00025411633440143436,0.00024623291769872515,0.00024155171829595668,0.0002384430136709631,0.0002341834525187805,0.00023207654454816026,0.0003138105454926931,0.00022246628476569526,0.00021592040850546403,0.00021323220686962966,0.00020712322290575237,0.00020139292459836057,0.00019708548265194023,0.0001894229919305528,0.00019130427936869064,0.00018388723146856668,0.00017922552293340123,0.0002672904219229306,0.0002397681099163875,0.0003348739875607743,0.0003126737482994403,0.00029693284371203684,0.00029144585858226484,0.0002809358617883803
4.0,0.0002997184097001937,0.00027378281921242313,0.00026780187682036937,0.0002683142643813245,0.0002621049105334434,0.00025424872938319587,0.000248245417007622,0.0002420829987721354,0.00023915151963373876,0.0002354787883984123,0.0002333798162351346,0.0003187594613211108,0.00022272109728839788,0.00021577536394418577,0.0002140983373967967,0.00020535585531251672,0.00020058803337923145,0.00019715325663908267,0.0001894499781919054,0.00019090284331598926,0.00018361369898028842,0.00017863451337064132,0.00027378923584159477,0.00024383232897842036,0.0003407981426898205,0.0003228634889602761,0.00030439352274737075,0.0002960201778202355,0.00028481281801769276
5.0,0.00030574681102870364,0.00027387121068336097,0.00026693539075441314,0.0002678687178589606,0.0002626407897269155,0.00025418239231974905,0.00024938223503923355,0.0002417692064683319,0.00023976552549357825,0.00023650588250375212,0.00023312128687502865,0.0003208648870854111,0.00022277394098605668,0.00021538337415880144,0.00021329278787218578,0.0002064779138644567,0.000200893047836343,0.00019730811002253428,0.0001913787495822801,0.00019102746370146338,0.00018404392821238881,0.0001791723520182422,0.0002772174195714681,0.0002456086689522609,0.0003423321260619233,0.0003275992741215572,0.00030645406675721597,0.0002966183841535827,0.00028493626954740155
6.0,0.0003108878602655586,0.0002764199061205871,0.0002666083868084722,0.0002666127459159678,0.0002592336159505726,0.0002565894593686507,0.00024994936022696297,0.00024005005287833515,0.00023971472418059115,0.0002364755379286703,0.00023143933358972464,0.00032434918925333694,0.0002216470468852481,0.0002169306194478428,0.0002125713921065087,0.00020764514385051528,0.0001988647291965857,0.0001985430618623598,0.0001914544428137097,0.00019149517539816097,0.0001833782404749309,0.00017836748343789426,0.00027457855374218355,0.00024735401885959794,0.00034946509191727796,0.00033103931647921446,0.00030431202857032145,0.0002924357415014475,0.0002858876709426407
7.0,0.00030851406636866764,0.00027529819919226554,0.00026556734633741033,0.00026258579873767547,0.0002555616352505423,0.0002615271509575787,0.0002483270902736861,0.0002411142097847271,0.00024113793395383746,0.00023925358082047056,0.0002316748227254485,0.00033041076770949326,0.00022160411488339644,0.00021540788952773858,0.00021082277561130733,0.00020856542165547683,0.000199930918163416,0.00020137241910639126,0.00019461658824046388,0.00019039354495882824,0.00018372410993815167,0.00017530635071153785,0.0002792078345656276,0.00025126652336413907,0.0003578931943549368,0.00032690422397066123,0.0003015522062617245,0.0002906787844253814,0.00028606379875034373
8.0,0.0003080728672340091,0.0002768940883119361,0.00025953256009616013,0.0002594639537430331,0.00025549322194861994,0.00026103673025169134,0.0002528025449699322,0.00024578279959865703,0.0002444795163422129,0.00024308779526773533,0.000228406295025799,0.00032763762712305795,0.00022438985700798703,0.00021685409406333066,0.00021006284786204412,0.00020753768732300294,0.00019917402279877078,0.00020140179634050851,0.00019726623410914345,0.0001824991255049555,0.00017989807646332415,0.0001762230730188586,0.00028855346796566593,0.0002503105438345613,0.00036256638589326703,0.0003204330541992765,0.0003004927083510782,0.0002919753189210479,0.00027938135464586334
9.0,0.00029456699572309644,0.00026650291433193005,0.0002681756671989975,0.00025589657709309166,0.00025299956076297117,0.0002652453860493119,0.00026442004248035763,0.0002545926975238534,0.00024358288210130628,0.0002481141198996952,0.00022884092337540742,0.0003010766008957746,0.00022683367566097955,0.00021453270031195117,0.00020693895140030607,0.00020366734670977307,0.00019911262718140822,0.00020001498674608337,0.00019997171338071012,0.00018431963195285401,0.00018279199877766658,0.00017875595806359388,0.000270145726194241,0.00025345704255107514,0.00036519306950467305,0.0003175207596951725,0.0003007027608558095,0.000300083582475192,0.000285078785878798
