# XML file : L10.in.xml
# T,z,z0,confidenceInterval,T_or_F
0.1,1.3278766599657081,0.40878152390989625,0.6827,0
0.55,0.9730373800557397,0.40878152390989625,0.6827,0
0.6,0.89888384465022786,0.40878152390989625,0.6827,0
0.65,0.13810758794444083,0.40878152390989625,0.6827,1
0.7,1.4192992770542052,0.40878152390989625,0.6827,0
0.75,1.1962291465143955,0.40878152390989625,0.6827,0
0.8,0.71689004796077249,0.40878152390989625,0.6827,0
0.85,0.7245428652324184,0.40878152390989625,0.6827,0
0.9,0.36168353030353345,0.40878152390989625,0.6827,1
0.95,0.28773855169415086,0.40878152390989625,0.6827,1
1.0,0.42009400740766362,0.40878152390989625,0.6827,0
0.15,1.1197940161758733,0.40878152390989625,0.6827,0
1.1,2.8739761602378091,0.40878152390989625,0.6827,0
1.2,1.439851039795516,0.40878152390989625,0.6827,0
1.3,0.34186989410851815,0.40878152390989625,0.6827,1
1.4,1.8693327475819779,0.40878152390989625,0.6827,0
1.5,1.1871040445293697,0.40878152390989625,0.6827,0
1.6,1.4653928998623527,0.40878152390989625,0.6827,0
1.7,0.55321813513867801,0.40878152390989625,0.6827,0
1.8,0.71453324840827637,0.40878152390989625,0.6827,0
1.9,1.1278686264713791,0.40878152390989625,0.6827,0
2.0,0.65833376447464675,0.40878152390989625,0.6827,0
0.2,0.46656214778441379,0.40878152390989625,0.6827,0
0.25,0.9403234045769947,0.40878152390989625,0.6827,0
0.3,0.88342705079014749,0.40878152390989625,0.6827,0
0.35,0.88074295908568567,0.40878152390989625,0.6827,0
0.4,0.62979477994092048,0.40878152390989625,0.6827,0
0.45,1.2543246654418461,0.40878152390989625,0.6827,0
0.5,0.036690276203666758,0.40878152390989625,0.6827,1

